id,verdict,name,town,seed_stories,floors_est,levels,height_m,name_ok,d,osm_bldg_name,osm_id
3,levels,Roosevelt Field Mall,Garden City,2,2,2,,True,0,Roosevelt Field Mall,way/328660194
4,levels,Stony Brook University Hospital,Stony Brook,19,18,18,,False,59,,way/60922548
6,none,Walt Whitman Shops,Huntington Station,2,,,,,,,
8,none,Long Island Marriott,Uniondale,11,,,,,,,
9,none,Hofstra University — Axinn Library,Hempstead,10,,,,,,,
11,none,Tanger Outlets Deer Park,Deer Park,2,,,,,,,
13,none,North Shore University Hospital,Manhasset,10,,,,,,,
14,none,Long Island Jewish Valley Stream (Northwell Health),Valley Stream,7,,,,,,,
15,none,Green Acres Mall,Valley Stream,2,,,,,,,
16,none,Adelphi University — Post Hall,Garden City,9,,,,,,,
17,none,1 Jericho Plaza,Jericho,6,,,,,,,
20,none,Huntington Hospital (Northwell Health),Huntington,7,,,,,,,
21,none,Hilton Long Island / Huntington,Melville,9,,,,,,,
22,none,Melville Marriott Long Island,Melville,10,,,,,,,
23,none,Good Samaritan University Hospital,West Islip,9,,,,,,,
25,none,Smith Haven Mall,Lake Grove,2,,,,,,,
26,none,"Frank Melville Jr. Memorial Library, Stony Brook University",Stony Brook,6,,,,,,,
28,none,John T. Mather Memorial Hospital,Port Jefferson,7,,,,,,,
29,none,South Shore University Hospital,Bay Shore,9,,,,,,,
31,none,Eastern Long Island Hospital,Greenport,4,,,,,,,
32,none,Stony Brook Southampton Hospital,Southampton,5,,,,,,,
33,none,Mercy Medical Center,Rockville Centre,9,,,,,,,
34,none,St. Francis Hospital The Heart Center,Roslyn,8,,,,,,,
35,none,Glen Cove Hospital,Glen Cove,5,,,,,,,
36,none,Plainview Hospital,Plainview,4,,,,,,,
37,none,Syosset Hospital,Syosset,4,,,,,,,
38,height,Long Island Jewish Medical Center,New Hyde Park,16,11,,39.7,True,14,Parker Jewish Institute for Health Care and Rehabilitation,way/247707658
39,levels,Cohen Children's Medical Center,New Hyde Park,8,9,9,42.9,False,9,,way/247707318
41,levels,Northport VA Medical Center,Northport,8,4,4,,False,4,Department of Veterans Affairs Medical Center - Bldg 200,way/320700600
42,height,St. Charles Hospital,Port Jefferson,6,6,,20.0,False,96,,way/463942895
43,none,St. Joseph Hospital,Bethpage,5,,,,,,,
44,none,South Oaks Hospital,Amityville,5,,,,,,,
46,none,2 Jericho Plaza,Jericho,7,,,,,,,
48,none,333 Earle Ovington Blvd,Uniondale,8,,,,,,,
50,none,900 Stewart Ave,Garden City,6,,,,,,,
51,levels,585 Stewart Ave,Garden City,6,2,2,,True,0,585 Stewart AVenue,way/328660183
52,none,175 Broadhollow Rd,Melville,7,,,,,,,
53,none,1010 Northern Blvd,Great Neck,6,,,,,,,
55,none,Henry Schein HQ,Melville,6,,,,,,,
58,none,Broadridge Financial Solutions HQ,Lake Success,5,,,,,,,
59,none,Pall Corporation HQ,Port Washington,6,,,,,,,
62,none,1111 Marcus Ave,Lake Success,8,,,,,,,
63,none,400 Crossways Park Dr,Woodbury,6,,,,,,,
67,none,445 Broadhollow Rd,Melville,5,,,,,,,
70,none,1000 Woodbury Rd,Woodbury,5,,,,,,,
74,none,Hyatt Regency Long Island,Hauppauge,10,,,,,,,
75,none,The Allegria Hotel,Long Beach,7,,,,,,,
76,none,Gurney's Montauk Resort & Seawater Spa,Montauk,5,,,,,,,
77,none,Hampton Inn Long Island Commack,Commack,5,,,,,,,
78,none,Hilton Garden Inn Roslyn,Roslyn,7,,,,,,,
88,levels,The Menhaden Hotel,Greenport,4,1,1,,False,83,Greenport Post Office,way/323368462
90,levels,SUNY Old Westbury — Campus Center,Old Westbury,5,3,3,,False,46,Campus Center,relation/8325894
91,levels,Farmingdale State College — Gleeson Hall,Farmingdale,4,3,3,,True,0,Gleeson Hall,way/470064987
95,none,Touro Law Center,Central Islip,5,,,,,,,
96,none,Molloy University — Public Square,Rockville Centre,6,,,,,,,
97,none,St. Joseph's University — Callahan Library,Patchogue,5,,,,,,,
98,none,Stony Brook University — Wang Center,Stony Brook,4,,,,,,,
99,levels,Stony Brook University — Administration,Stony Brook,9,2,2,,False,35,,way/834552305
100,none,Hofstra University — Student Center,Hempstead,4,,,,,,,
101,none,Five Towns College,Dix Hills,4,,,,,,,
102,none,Nassau County Courthouse,Mineola,7,,,,,,,
109,none,Nassau County District Court,Hempstead,5,,,,,,,
112,none,Hempstead Town Hall,Hempstead,5,,,,,,,
113,none,Suffolk County Family Court,Central Islip,5,,,,,,,
124,none,Huntington Public Library,Huntington,4,,,,,,,
125,none,Port Washington Public Library,Port Washington,4,,,,,,,
127,none,Middle Country Public Library,Centereach,3,,,,,,,
128,none,Sachem Public Library,Holbrook,3,,,,,,,
129,none,Long Island MacArthur Airport Terminal,Ronkonkoma,3,,,,,,,
130,none,MacArthur Airport Parking Garage,Ronkonkoma,5,,,,,,,
131,none,Pilgrim Psychiatric Center,Brentwood,5,,,,,,,
141,none,Sagamore Children's Psychiatric Center,Dix Hills,4,,,,,,,
150,none,3000 Marcus Ave,Lake Success,6,,,,,,,
151,none,400 Garden City Plaza,Garden City,7,,,,,,,
152,none,1000 Franklin Ave,Garden City,6,,,,,,,
158,none,900 Merchants Concourse,Westbury,6,,,,,,,
159,none,290 Broadhollow Rd,Melville,5,,,,,,,
167,none,100 Motor Pkwy,Hauppauge,5,,,,,,,
168,none,534 Broadhollow Rd,Melville,4,,,,,,,
169,none,999 Stewart Ave,Garden City,5,,,,,,,
174,levels,990 Stewart Ave,Garden City,5,2,2,,False,96,,way/577799081
177,none,300 Garden City Plaza,Garden City,6,,,,,,,
180,none,Meltzer Lippe Goldstein & Breitstone LLP,Mineola,5,,,,,,,
182,levels,Bond Schoeneck & King PLLC,Garden City,5,5,5,,False,72,,way/328645757
185,none,Campolo Middleton & McCormick LLP,Ronkonkoma,4,,,,,,,
186,none,Hamburger Maxson Yaffe & McNally LLP,Melville,4,,,,,,,
187,none,Farrell Fritz PC,Uniondale,8,,,,,,,
189,none,Ruskin Moscou Faltischek PC,Uniondale,8,,,,,,,
194,none,Gurney's Star Island Resort,Montauk,4,,,,,,,
196,none,Topping Rose House,Bridgehampton,3,,,,,,,
197,none,The Maidstone Hotel,East Hampton,3,,,,,,,
203,none,Sunset Beach Hotel,Shelter Island,3,,,,,,,
207,none,American Hotel Sag Harbor,Sag Harbor,3,,,,,,,
208,none,Montauk Yacht Club,Montauk,4,,,,,,,
209,none,Cold Spring Harbor Laboratory,Cold Spring Harbor,5,,,,,,,
210,levels,Stony Brook University — Engineering Bldg,Stony Brook,7,2,2,,True,105,Light Engineering,way/60911992
211,none,Stony Brook University — Life Sciences Bldg,Stony Brook,6,,,,,,,
212,none,Hofstra University — Breslin Hall,Hempstead,4,,,,,,,
214,none,Adelphi University — Earle Hall,Garden City,5,,,,,,,
218,none,Molloy University — Hagan Hall,Rockville Centre,4,,,,,,,
219,none,Islip Town Hall,Islip,4,,,,,,,
220,none,North Hempstead Town Hall,Manhasset,4,,,,,,,
224,none,East Hampton Town Hall,East Hampton,3,,,,,,,
225,none,Southampton Town Hall,Southampton,3,,,,,,,
228,none,Theodore Roosevelt Exec & Legislative Bldg,Mineola,6,,,,,,,
234,levels,Lynbrook Gardens,Lynbrook,7,2,2,,True,141,Lynbrook Gardens,way/593522978
244,none,Smithtown Library,Smithtown,3,,,,,,,
247,none,Great Neck Library — Main Branch,Great Neck,3,,,,,,,
248,levels,Babylon Public Library,Babylon,3,1,1,,False,34,,way/469746936
251,none,Broadway Commons,Hicksville,3,,,,,,,
253,none,The Paramount Huntington,Huntington,3,,,,,,,
254,none,Tilles Center for the Performing Arts,Brookville,3,,,,,,,
255,none,Long Island Aquarium,Riverhead,3,,,,,,,
256,none,Nassau Coliseum,Uniondale,4,,,,,,,
257,levels,Long Island Children's Museum,Garden City,3,2,2,,False,99,,way/331613247
259,none,Stony Brook University Sports Complex,Stony Brook,4,,,,,,,
262,none,Gurwin Jewish Nursing & Rehab Center,Commack,4,,,,,,,
263,levels,Peconic Landing at Southold,Greenport,4,3,3,,True,83,Peconic Landing,way/460835108
264,none,The Bristal at Westbury,Westbury,4,,,,,,,
269,none,Glengariff Healthcare Center,Glen Cove,4,,,,,,,
295,none,Baron's Cove Hotel,Sag Harbor,3,,,,,,,
