id,verdict,name,type,town,osm_name,osm_kind,dist_m,name_ok,lat,lng,new_lat,new_lng
26,confirmed,"Frank Melville Jr. Memorial Library, Stony Brook University",Education,Stony Brook,Frey Hall,building=university,99,False,40.9156,-73.1227,,
30,confirmed,Long Island Community Hospital,Medical,Patchogue,NYU Langone Hospital-Suffolk,amenity=hospital,54,False,40.78025,-72.97642,,
58,confirmed,Broadridge Financial Solutions HQ,Office,Lake Success,5 Dakota Drive,building=commercial,3,False,40.762,-73.69073,,
65,confirmed,Northwell Health HQ,Office,New Hyde Park,2000 Mrcus Ave,building=commercial,2,False,40.75932,-73.699,,
72,confirmed,200 Motor Pkwy,Office,Hauppauge,Hagelin & Hagelin LLC,office=lawyer,0,False,40.80829,-73.25447,,
80,confirmed,Courtyard Marriott Garden City,Hotel,Garden City,La Quinta Inn,tourism=hotel,11,False,40.73415,-73.60364,,
98,confirmed,Stony Brook University — Wang Center,Education,Stony Brook,College of Business,amenity=college,78,False,40.9151,-73.1245,,
111,confirmed,Brookhaven Town Hall,Government,Farmingville,Town Hall Level 12,amenity=townhall,27,False,40.84396,-73.01637,,
132,confirmed,NYU Langone Orthopedic Hospital Syosset,Medical,Syosset,Village Pharmacy of Syosset,amenity=pharmacy,124,False,40.8249,-73.5019,,
134,confirmed,NYU Langone Medical Arts Huntington,Medical,Huntington Station,iStretchPlus,healthcare=physiotherapist,145,False,40.86011,-73.42074,,
145,confirmed,Mercy Medical Center Medical Office Bldg,Medical,Rockville Centre,Passport Health Rockville Centre Clinic,amenity=clinic,82,False,40.66005,-73.64854,,
149,confirmed,1601 Old Country Rd,Office,Plainview,Fidelity Investments,office=financial_advisor,89,False,40.78053,-73.44879,,
163,confirmed,150 Broadhollow Rd,Office,Melville,Gemini Deli,amenity=fast_food,80,False,40.78815,-73.41623,,
178,confirmed,100 Duffy Ave,Office,Hicksville,Harper,office=tax_advisor,86,False,40.7629,-73.5257,,
201,confirmed,Marriott Residence Inn East End,Hotel,Riverhead,Holiday Inn Express & Suites,tourism=hotel,7,False,40.92397,-72.70097,,
230,confirmed,The Riviera at Long Beach,Residential,Long Beach,Granada Towers,building=apartments,129,False,40.5882,-73.6623,,
252,confirmed,The Source Mall,Mall,Westbury,Samanea New York Mall,shop=mall,86,False,40.74567,-73.595,,
