id,verdict,name,type,town,stories,elevators,osm_name,osm_kind,dist_m,name_ok,lat,lng,new_lat,new_lng,osm_levels
622,not_found,Schweiger Dermatology Group Commack,Dermatology,Commack,2,1,,,,False,40.8425,-73.286,,,
624,review,Island Dermatology Rockville Centre,Dermatology,Rockville Centre,2,1,Motion Sports Medicine,healthcare=physiotherapist,184,False,40.6588,-73.6399,,,
625,not_found,Advanced Dermatology Huntington,Dermatology,Huntington,2,1,,,,False,40.85132,-73.40027,,,
626,review,Advanced Dermatology Hicksville,Dermatology,Hicksville,2,1,Smith Pharmacy,amenity=pharmacy,187,False,40.7682,-73.5251,,,
627,not_found,Advanced Dermatology Melville,Dermatology,Melville,3,2,,,,False,40.7623,-73.4147,,,
628,review,North Shore Dermatology Manhasset,Dermatology,Manhasset,2,1,Northwell Health – LIJ Manhasset Ambulatory Pavilion,amenity=clinic,783,False,40.7872,-73.6928,,,
632,review,Dermatology of Long Island East Hampton,Dermatology,East Hampton,2,1,CVS Pharmacy,amenity=pharmacy,376,False,40.9623,-72.1841,,,
633,relocate,Northwell Health Dermatology Lake Success,Dermatology,Lake Success,4,3,Northwell Health Clinical Laboratories of New York,amenity=clinic,408,True,40.7595,-73.7176,40.760481,-73.722265,
635,not_found,Stony Brook Dermatology East Setauket,Dermatology,East Setauket,3,2,,,,False,40.9211,-73.1104,,,
638,not_found,Northwell Health PT Huntington,Physical Therapy,Huntington,2,1,,,,False,40.88013,-73.40007,,,
649,review,Summit Physical Therapy Bay Shore,Physical Therapy,Bay Shore,2,1,Mount Sinai Doctors Long Island,healthcare=yes,695,False,40.728,-73.251,,,
654,not_found,Zwanger-Pesiri Radiology Commack,Radiology,Commack,2,1,,,,False,40.8432,-73.2825,,,
663,confirmed,Peconic Bay Radiology Riverhead,Radiology,Riverhead,3,2,Peconic Bay Medical Center,amenity=hospital,21,True,40.9343,-72.67392,40.934365,-72.674157,
