id,name,type,town,verified,verified_by,osm_name,osm_sim,osm_dist_m,osm_kind,wd_label,wd_desc,wd_dist_m,biz_name,biz_dist_m,census_match,census_dist_m,new_lat,new_lng
1,Winthrop / NYU Langone Hospital,Medical,Mineola,False,,NYU Langone Hospital Long Island,0.75,799,amenity=hospital,,,,,,True,727,,
2,RXR Plaza,Office,Uniondale,False,,EAB Plaza Heliport,0.5,806,aeroway=helipad,,,,,,False,,,
3,Roosevelt Field Mall,Mall,Garden City,True,osm,Roosevelt Field Mall,1.0,338,shop=mall,,,,,,False,,40.738048,-73.612665
4,Stony Brook University Hospital,Medical,Stony Brook,True,osm,Stony Brook University Hospital,1.0,41,amenity=hospital,,,,,,False,,,
5,EAB Plaza (West Tower),Office,Uniondale,False,,EAB Plaza Heliport,0.67,2133,aeroway=helipad,,,,,,False,,,
6,Walt Whitman Shops,Mall,Huntington Station,True,wiki,HART H30 - Walt Whitman Shops --> Halesite VIA Greenlawn Road,1.0,2939,feature,Walt Whitman Shops,"shopping mall in Huntington Station, New York",32,,,True,322,,
7,Nassau University Medical Center,Medical,East Meadow,False,,Medical Center,1.0,686,aeroway=helipad,,,,,,True,594,,
8,Long Island Marriott,Hotel,Uniondale,True,osm,Marriott Long Island,1.0,215,feature,,,,,,True,498,40.72404,-73.588089
9,Hofstra University — Axinn Library,Education,Hempstead,True,osm,Axinn Library,1.0,45,amenity=library,,,,,,False,,,
10,Garden City Hotel,Hotel,Garden City,False,,The Garden City Hotel,1.0,258,tourism=hotel,,,,,,True,316,,
11,Tanger Outlets Deer Park,Mall,Deer Park,True,fsq,Deer Park,1.0,1065,building=train_station,,,,Tanger Outlets Deer Park,120,False,,,
12,South Nassau / Mount Sinai South Nassau,Medical,Oceanside,False,,Mount Sinai South Nassau,1.0,1466,amenity=hospital,,,,,,False,,,
13,North Shore University Hospital,Medical,Manhasset,True,osm,North Shore University Hospital Heliport,1.0,28,aeroway=helipad,,,,,,True,217,,
14,Long Island Jewish Valley Stream (Northwell Health),Medical,Valley Stream,True,osm,Long Island Jewish Valley Stream,1.0,10,amenity=hospital,,,,,,True,82,,
15,Green Acres Mall,Mall,Valley Stream,True,osm,Green Acres Mall,1.0,213,shop=mall,,,,,,True,585,40.66241,-73.719502
