id,verdict,seed_name,type,town,seed_stories,seed_elevators,osm_match,osm_kind,dist_m,osm_levels
3,confirmed,Roosevelt Field Mall,Mall,Garden City,2,6,Roosevelt Field Mall,shop=mall,352,2
4,confirmed,Stony Brook University Hospital,Medical,Stony Brook,19,20,Stony Brook University Hospital,amenity=hospital,77,
8,confirmed,Long Island Marriott,Hotel,Uniondale,11,6,Long Island Marriott,tourism=hotel,241,
10,confirmed,Garden City Hotel,Hotel,Garden City,7,5,The Garden City Hotel,tourism=hotel,256,
13,confirmed,North Shore University Hospital,Medical,Manhasset,10,12,North Shore University Hospital,amenity=hospital,304,
14,confirmed,Long Island Jewish Valley Stream (Northwell Health),Medical,Valley Stream,7,6,Long Island Jewish Valley Stream,amenity=hospital,19,
15,confirmed,Green Acres Mall,Mall,Valley Stream,2,4,Green Acres Mall,highway=unclassified,164,
18,confirmed,Sunrise Mall,Mall,Massapequa,2,4,Sunrise Mall,landuse=retail,63,
19,confirmed,One Hollow Lane,Office,Lake Success,7,5,Hollow Lane,highway=tertiary,103,
20,confirmed,Huntington Hospital (Northwell Health),Medical,Huntington,7,6,Huntington Hospital,amenity=hospital,11,
21,confirmed,Hilton Long Island / Huntington,Hotel,Melville,9,5,Hilton Long Island/Huntington,tourism=hotel,366,
22,confirmed,Melville Marriott Long Island,Hotel,Melville,10,6,Marriott Melville Long Island,tourism=hotel,22,
28,confirmed,John T. Mather Memorial Hospital,Medical,Port Jefferson,7,6,John T. Mather Memorial Hospital,amenity=hospital,0,
33,confirmed,Mercy Medical Center,Medical,Rockville Centre,9,8,Mercy Medical Center,amenity=hospital,0,
35,confirmed,Glen Cove Hospital,Medical,Glen Cove,5,4,Glen Cove Hospital,amenity=hospital,0,
42,confirmed,St. Charles Hospital,Medical,Port Jefferson,6,5,Saint Charles Hospital,amenity=hospital,0,
43,confirmed,St. Joseph Hospital,Medical,Bethpage,5,4,St Joseph Hospital,amenity=doctors,13,
46,confirmed,2 Jericho Plaza,Office,Jericho,7,6,2 Jericho Plaza,building=commercial,0,
51,confirmed,585 Stewart Ave,Office,Garden City,6,5,585 Stewart AVenue,building=office,0,2
53,confirmed,1010 Northern Blvd,Office,Great Neck,6,5,1010,building=retail,1,
62,confirmed,1111 Marcus Ave,Office,Lake Success,8,6,1111,building=commercial,0,
63,confirmed,400 Crossways Park Dr,Office,Woodbury,6,5,400 Crossways Park Drive,building=commercial,0,
67,confirmed,445 Broadhollow Rd,Office,Melville,5,4,445,building=commercial,0,
70,confirmed,1000 Woodbury Rd,Office,Woodbury,5,4,1000,building=commercial,0,
72,confirmed,200 Motor Pkwy,Office,Hauppauge,5,4,Heisenberg II,office=it,66,
74,confirmed,Hyatt Regency Long Island,Hotel,Hauppauge,10,6,Hyatt Regency Long Island,tourism=hotel,22,
77,confirmed,Hampton Inn Long Island Commack,Hotel,Commack,5,3,Hampton Inn Long Island/Commack,tourism=hotel,1,
88,confirmed,The Menhaden Hotel,Hotel,Greenport,4,2,The Menhaden,tourism=hotel,294,
101,confirmed,Five Towns College,Education,Dix Hills,4,3,Five Towns College,amenity=university,0,
102,confirmed,Nassau County Courthouse,Government,Mineola,7,6,Nassau County Courthouse,amenity=courthouse,354,
109,confirmed,Nassau County District Court,Government,Hempstead,5,4,Nassau County District Court,office=government,403,
112,confirmed,Hempstead Town Hall,Government,Hempstead,5,4,Hempstead Town Hall,amenity=townhall,165,
124,confirmed,Huntington Public Library,Library,Huntington,4,3,Huntington Public Library,amenity=library,160,
127,confirmed,Middle Country Public Library,Library,Centereach,3,2,Middle Country Public Library (Centereach),amenity=library,0,
131,confirmed,Pilgrim Psychiatric Center,Medical,Brentwood,5,4,Pilgrim Psychiatric Center,amenity=hospital,0,
141,confirmed,Sagamore Children's Psychiatric Center,Medical,Dix Hills,4,3,Sagamore Children's Psychiatric Center,amenity=hospital,0,
149,confirmed,1601 Old Country Rd,Office,Plainview,5,4,1601,place=house,0,
150,confirmed,3000 Marcus Ave,Office,Lake Success,6,5,3000,building=commercial,0,
151,confirmed,400 Garden City Plaza,Office,Garden City,7,5,400 Garden City Plaza,building=yes,0,
154,confirmed,560 Broadhollow Rd,Office,Melville,5,4,560,building=commercial,0,
155,confirmed,1401 Franklin Ave,Office,Garden City,5,4,1401,building=yes,0,
159,confirmed,290 Broadhollow Rd,Office,Melville,5,4,290,building=commercial,0,
162,confirmed,100 Marcus Blvd,Office,Hauppauge,4,3,100,building=commercial,0,
166,confirmed,475 Wireless Blvd,Office,Hauppauge,4,3,475,building=commercial,0,
167,confirmed,100 Motor Pkwy,Office,Hauppauge,5,4,100,building=commercial,0,
168,confirmed,534 Broadhollow Rd,Office,Melville,4,3,534,building=commercial,0,
169,confirmed,999 Stewart Ave,Office,Garden City,5,4,999 Stewart Avenue,shop=storage_rental,0,
171,confirmed,38 Harbor Park Dr,Office,Port Washington,4,3,38,building=commercial,0,
172,confirmed,125 Froehlich Farm Blvd,Office,Woodbury,4,3,125,building=commercial,0,
177,confirmed,300 Garden City Plaza,Office,Garden City,6,5,300 Garden City Plaza,building=yes,1,
178,confirmed,100 Duffy Ave,Office,Hicksville,5,4,New York Community Bank Plaza,building=commercial,457,
197,confirmed,The Maidstone Hotel,Hotel,East Hampton,3,2,The Maidstone,tourism=hotel,0,
203,confirmed,Sunset Beach Hotel,Hotel,Shelter Island,3,2,Sunset Beach Resort,tourism=hotel,61,
207,confirmed,American Hotel Sag Harbor,Hotel,Sag Harbor,3,2,American Hotel,tourism=hotel,258,
208,confirmed,Montauk Yacht Club,Hotel,Montauk,4,3,Montauk Yacht Club,tourism=hotel,239,
219,confirmed,Islip Town Hall,Government,Islip,4,3,Islip Town Hall,amenity=townhall,116,
220,confirmed,North Hempstead Town Hall,Government,Manhasset,4,3,North Hempstead Town Hall,amenity=townhall,1,
224,confirmed,East Hampton Town Hall,Government,East Hampton,3,2,East Hampton Town Hall,amenity=townhall,0,
234,confirmed,Lynbrook Gardens,Residential,Lynbrook,7,3,Lynbrook Gardens,building=apartments,296,
244,confirmed,Smithtown Library,Library,Smithtown,3,2,The Smithtown Library - Main Branch,amenity=library,0,
253,confirmed,The Paramount Huntington,Entertainment,Huntington,3,3,The Paramount,amenity=theatre,58,
255,confirmed,Long Island Aquarium,Entertainment,Riverhead,3,3,Long Island Aquarium,tourism=aquarium,383,
256,confirmed,Nassau Coliseum,Entertainment,Uniondale,4,6,Nassau Veterans Memorial Coliseum,leisure=stadium,44,
264,confirmed,The Bristal at Westbury,Residential,Westbury,4,4,The Bristal Assisted Living at Westbury,amenity=social_facility,153,
269,confirmed,Glengariff Healthcare Center,Residential,Glen Cove,4,3,Glengariff Healthcare Center,amenity=social_facility,0,
302,confirmed,Holiday Inn Westbury,Hotel,Carle Place,5,4,Holiday Inn,tourism=hotel,0,
313,confirmed,585 Broadhollow Rd,Office,Melville,5,4,585,building=commercial,0,
314,confirmed,1501 Franklin Ave,Office,Garden City,5,4,1501,place=house,0,
317,confirmed,600 Community Dr,Office,Manhasset,6,5,600,building=commercial,344,
321,confirmed,1025 Old Country Rd,Office,Westbury,4,3,1025,place=house,0,
325,confirmed,1305 Walt Whitman Rd,Office,Melville,4,3,1305,building=commercial,71,
329,confirmed,200 Broadhollow Rd,Office,Melville,5,4,200,building=commercial,1,
330,confirmed,375 Wireless Blvd,Office,Hauppauge,4,3,375,building=commercial,0,
335,confirmed,1100 Old Country Rd,Office,Plainview,4,3,1100,place=house,63,
361,confirmed,Smithtown Town Hall,Government,Smithtown,4,3,Smithtown Town Hall,amenity=townhall,499,
362,confirmed,Riverhead Town Hall,Government,Riverhead,4,3,Riverhead Town Hall,amenity=townhall,288,
384,confirmed,Parrish Art Museum,Entertainment,Water Mill,3,2,Parrish Art Museum,tourism=museum,0,1
432,confirmed,Levittown Public Library,Library,Levittown,2,1,Levittown Public Library,amenity=library,9,
436,confirmed,Syosset Public Library,Library,Syosset,2,1,Syosset Public Library,amenity=library,74,
437,confirmed,Lindenhurst Memorial Library,Library,Lindenhurst,2,1,Lindenhurst Memorial Library,amenity=library,3,
439,confirmed,Patchogue–Medford Library,Library,Patchogue,2,1,Patchogue - Medford Library,amenity=library,186,
442,confirmed,Commack Public Library,Library,Commack,2,1,Commack Public Library,amenity=library,1,
447,confirmed,Lynbrook Village Hall,Government,Lynbrook,2,1,Lynbrook Village Hall,amenity=townhall,408,
448,confirmed,Mineola Village Hall,Government,Mineola,2,1,Mineola Village Hall,amenity=townhall,88,
450,confirmed,Westbury Village Hall,Government,Westbury,2,1,Westbury Village Hall,amenity=townhall,300,
452,confirmed,Amityville Village Hall,Government,Amityville,3,2,Amityville Village Hall,amenity=townhall,281,
454,confirmed,Patchogue Village Hall,Government,Patchogue,2,1,Patchogue Village Hall,amenity=townhall,409,
455,confirmed,Farmingdale Village Hall,Government,Farmingdale,2,1,Farmingdale Village Hall,amenity=townhall,159,
456,confirmed,Floral Park Village Hall,Government,Floral Park,2,1,Floral Park Village Hall,amenity=townhall,270,
460,confirmed,Massapequa Park Village Hall,Government,Massapequa Park,2,1,Massapequa Park Village Hall,amenity=townhall,391,
462,confirmed,2 Huntington Quadrangle,Office,Melville,4,4,2,building=commercial,0,
542,confirmed,Greenporter Hotel,Hotel,Greenport,3,2,The Greenporter Hotel,tourism=hotel,322,
561,confirmed,350 Jericho Tpke,Office,Jericho,3,2,350 Jericho Turnpike,building=retail,283,
570,confirmed,25 Orville Dr,Office,Bohemia,3,2,fishbat,building=commercial,0,
571,confirmed,Southold Town Hall,Government,Southold,3,2,Southold Town Hall,amenity=townhall,371,
572,confirmed,Greenport Village Hall,Government,Greenport,2,1,Greenport Village Hall,amenity=townhall,366,
573,confirmed,Port Jefferson Village Hall,Government,Port Jefferson,2,1,Port Jefferson Village Hall,amenity=townhall,315,
574,confirmed,Sag Harbor Village Hall,Government,Sag Harbor,2,1,Sag Harbor Village Hall,amenity=townhall,161,
575,confirmed,Westhampton Beach Village Hall,Government,Westhampton Beach,2,1,Westhampton Beach Village Hall,building=commercial,1,
581,confirmed,Jericho High School,Education,Jericho,3,3,Jericho Middle / High School,amenity=school,0,
584,confirmed,Garden City High School,Education,Garden City,3,3,Garden City High School,amenity=school,0,
587,confirmed,Half Hollow Hills High School East,Education,Dix Hills,3,4,Half Hollow Hills High School East,amenity=school,0,
590,confirmed,Bethpage High School,Education,Bethpage,3,3,Bethpage High School,amenity=school,150,
591,confirmed,Oheka Castle,Entertainment,Huntington,4,2,Oheka Castle,tourism=hotel,0,
