id,name,town,status,confirmed,top_title,top_url,review_title,review_url
3,Roosevelt Field Mall,Garden City,filmed,7,LOUD Dover Chewbacca Hydraulic Scenic Elevators At The Roosevelt Field Mall In Garden City NY,https://www.youtube.com/watch?v=t1XN8G2OYjI,2 schindler RT hydraulic elevators @ roosevelt field mall,https://www.youtube.com/watch?v=Ol1m3y0xOU4
4,Stony Brook University Hospital,Stony Brook,filmed,6,"Haughton Traction Elevators, Academic Tower A, Stony Brook University Hospital, Stony Brook, NY",https://www.youtube.com/watch?v=v8VrEqCchxM,"MUST WATCH: AMAZING Northern Elevator at Heavy Engineering, Stony Brook University, NY",https://www.youtube.com/watch?v=Osk9S56GrS0
6,Walt Whitman Shops,Huntington Station,filmed,11,"Broken Schindler Elevator at Walt Whitman Shops Parking Deck in Huntington Station, NY",https://www.youtube.com/watch?v=3nsiTZCbXEo,"Terrible Otis Death Trap Elevator at Macy's, Walt Whitman Mall, Huntington Station, NY",https://www.youtube.com/watch?v=33ToGef5B0I
8,Long Island Marriott,Uniondale,filmed,15,"Lovely 1980's Dover Traction Elevators in the Long Island Marriott in Town of Hempstead, NY",https://www.youtube.com/watch?v=h6yZdGtDHXU,,
9,Hofstra University — Axinn Library,Hempstead,filmed,8,"RAMBUNCTIOUS Armor Service Elevator at Axinn Library at Hofstra University in Hempstead, NY",https://www.youtube.com/watch?v=NgxCNDcMqno,"AMAZING modernization!! excel traction elevators @ axinn library, hofstra university",https://www.youtube.com/watch?v=NBMskA0ZiDc
11,Tanger Outlets Deer Park,Deer Park,filmed,7,"Schindler Elevator at Regal Cinemas at Tanger Outlets at The Arches in Deer Park, NY",https://www.youtube.com/watch?v=1XRXR-TOojs,"NEW OTIS Gen2 MRL Traction Elevators - Tanger Outlets At Foxwoods (South) - Mashantucket, CT",https://www.youtube.com/watch?v=GfRbRwR93zY
13,North Shore University Hospital,Manhasset,filmed,10,"Dover Elevators in the Monti Pavilion at North Shore University Hospital in Manhasset, NY",https://www.youtube.com/watch?v=6kDTpPDk5N0,HILARIOUS Video of the Dover Scenic Elevator in the Parking Deck at North Shore University Hospital,https://www.youtube.com/watch?v=gF-Oi4J5KTM
14,Long Island Jewish Valley Stream (Northwell Health),Valley Stream,unfilmed,0,,,,
15,Green Acres Mall,Valley Stream,filmed,8,"KONE EcoSpace MRL Traction Elevator @ Kohl's mall entrance, Green Acres Mall, Valley Stream, NY",https://www.youtube.com/watch?v=1YrE0_FHFqU,Kone Traction Elevator @ Kohl's Parking Entrance-Green Acres Mall,https://www.youtube.com/watch?v=kjDnenoeQFs
16,Adelphi University — Post Hall,Garden City,unfilmed,0,,,,
